precio;sub_descr;href;ubicacion;habitaciones;banios;mt2;otros;latitude;longitude;planta;CCAA
1.200 €/mes;Ático en calle de Emilia Pardo Bazán, 4;/alquilar/atico-puerto_chico39003-35011141220_427100/;Puerto Chico (Santander);1 hab.;2 baños;82 m²;"Disponible a partir de 1 septiembre.
Acogedor  piso exterior, bohemio, muy luminoso con vistas 360º para ver los atardeceres más i...";43.46341479437432;-3.8012301079045963;;cantabria
3.200 €/mes;Piso en Centro;/alquilar/piso-laredo_centro39770-43403460022_106000/;Centro (Laredo);2 habs.;2 baños;;"¡Bonito apartamento en el centro de laredo y a escasos metros de la paya salvé!

Un apartamento moderno y funcional. Cuenta con do...";43.410932303;-3.414800789;2ª planta;cantabria
A consultar;Piso en calle del Duque Santo Mauro, 11;/alquilar/piso-sardinero-23417479001_427100/;El Sardinero (Santander);2 habs.;2 baños;140 m²;"Actualmente disponible:
A partir de 01/06/2024.
Junio 2.500€/mes 
Julio 3.500€/mes 
Agosto 4.500€/mes 
Septiembre 2.500€/mes 
En u...";43.469506246298;-3.7817097167806795;Bajo;cantabria
8.500 €/mes;Piso en calle de Marianela, 3;/alquilar/piso-santander_el_sardinero39005-44196192577_427100/;El Sardinero (Santander);4 habs.;3 baños;235 m²;Descubre este distinguido apartamento situado en un emblemático edificio de santander, con espectaculares vistas despejadas hacia ...;43.4655;-3.78334;2ª planta;cantabria
A consultar;Piso en Avenida de Enrique Mowinckel;/alquilar/piso-zona_playa-45909127742_501237/;Zona Playa (Laredo);2 habs.;1 baño;80 m²;"Buscas apartamento para disfrutar de tus vacaciones en septiembre???

Lo tenemos!!! En primera línea de playa y con acceso directo...";43.420787213;-3.443569363;1ª planta;cantabria
750 €/mes;Piso en Paseo del General Dávila;/alquilar/piso-los_castros39007-42571190685_101800/;Los Castros (Santander);2 habs.;1 baño;55 m²;Piso reformado en el grupo san francisco compuesto por 2 habitaciones, salón, cocina equipada y baño, calefacción individual, exte...;43.469097203;-3.795158709;;cantabria
850 €/mes;Piso en calle Alta;/alquilar/piso-numancia_san_fernando39008-44232159102_103800/;Numancia-San Fernando (Santander);3 habs.;2 baños;110 m²;Cerca del hospital marqués de valdecilla, c/alta, alve alquila estupendo piso grande y espacioso,distribuido en 3 habitaciones, am...;43.4590262;-3.8170499;4ª planta;cantabria
850 €/mes;Piso en calle de Rubio;/alquilar/piso-santander_centro_ayuntamiento39001-45011376555_108900/;Centro-Ayuntamiento (Santander);2 habs.;1 baño;75 m²;Distrito inmobiliario alquila de septiembre a junio en pleno centro de santander en calle peatonal, este luminoso piso.distribuido...;43.4622605;-3.813224;1ª planta;cantabria
2.300 €/mes;Piso en Avenida de la Reina Victoria;/alquilar/piso-puerto_chico39004-45076921817_108900/;Puerto Chico (Santander);2 habs.;2 baños;70 m²;Alquiler vacacional por quincenas. Distrito inmobiliario alquila piso en reina victoria para máximo de 4 personas.está distribuido...;43.4636181;-3.7900736;1ª planta;cantabria
1.900 €/mes;Piso en Paseo de Menéndez Pelayo;/alquilar/piso-brazomar39700-45022295062_100500/;Brazomar (Castro Urdiales);2 habs.;1 baño;70 m²;"Se alquila por temporada vivienda a 200m de la playa de brazomar.
Julio: 
Mensual 2.000€
Quincena 1.300€ 
- capacidad máxima 4 per...";43.373526034;-3.214615513;1ª planta;cantabria
875 €/mes;Ático en calle de Velázquez, 5;/alquilar/atico-brazomar39700-44213112358_100500/;Brazomar (Castro Urdiales);2 habs.;1 baño;72 m²;"Precioso atico en castro-urdiales.

A 5 minutos de la playa de brazomar.

Zona residencial muy tranquila

Muy bien situado, próxim...";43.3729;-3.21692;;cantabria
800 €/mes;Piso en calle de Calderón de la Barca, 14;/alquilar/piso-castilla_hermida39002-22558468906_100500/;Castilla-Hermida (Santander);2 habs.;1 baño;70 m²;Piso disponible en septiembre en alquiler para larga estancia, en una de las calles más céntricas de santander, calderón de la bar...;43.459;-3.80929;3ª planta;cantabria
950 €/mes;Piso en calle de la Rúa, 26;/alquilar/piso-castro_urdiales_centro-45035818828_100500/;Centro (Castro Urdiales);2 habs.;1 baño;75 m²;En alquiler por temporadas, piso en el centro de castro urdiales, ubicado junto a la playa de ostende, puerto, iglesia de santa ma...;43.385;-3.21708;2ª planta;cantabria
590 €/mes;Estudio en calle Marcelino Sanz de Santuola;/alquilar/estudio-puerto_chico39003-37586330509_523562/;Puerto Chico (Santander);1 hab.;1 baño;33 m²;"Se alquila estudio con encanto en pleno centro septiembre-junio. Excelente ubicación 

En el centro de la ciudad, en una de las me...";43.4632221;-3.803542;;cantabria
2.000 €/mes;Piso en Centro-Puertochico;/alquilar/piso-puerto_chico39003-45895446790_100500/;Puerto Chico (Santander);5 habs.;3 baños;228 m²;¿Quién no ha deseado vivir en pleno centro de una bella y espléndida ciudad, con vistas a la bahía de santander? Rodeado de arquit...;43.4628615;-3.8014451;5ª planta;cantabria
1.350 €/mes;Piso en Ever;/alquilar/piso-zona_playa-44182025605_108900/;Zona Playa (Laredo);2 habs.;1 baño;84 m²;"Piso de dos habitaciones en alquiler julio y plaza de garaje en laredo 

Piso en alquiler quincena julio y a unos pasos del paseo ...";43.415057026;-3.43907069;3ª planta;cantabria
2.000 €/mes;Piso en Sardinero;/alquilar/piso-santander_el_sardinero39005-45841810320_100500/;El Sardinero (Santander);3 habs.;2 baños;120 m²;"Alquiler de temporada
Disponible mes septiembre 2024 hasta junio 2025

Frente a la segunda playa del sardinero, primera línea y zo...";43.47909884;-3.789719707;2ª planta;cantabria
150 €/día;Piso en calle de la Bajada al Puerto, 9;/alquilar/piso-suances_centro_urbano-45877711965_511222/;Suances;2 habs.;1 baño;90 m²;Buscas una ubicación perfecta para disfrutar de tus días de vacaciones? Desconecta con las mejores vistas en nuestro piso de bajad...;43.432247;-4.0381427;4ª planta;cantabria
1.600 €/mes;Dúplex en Plaza de la Villa;/alquilar/duplex-santona_centro_urbano-45885783344_100500/;Santoña;2 habs.;2 baños;98 m²;Alquiler vacacional de este espectacular dúplex de estilo moderno en santoña, completamente amueblado y equipado con todo lo neces...;43.4442455;-3.4571276;2ª planta;cantabria
2.000 €/mes;Piso en Avenida de la Victoria, 36;/alquilar/piso-zona_playa-45863701216_100500/;Zona Playa (Laredo);2 habs.;1 baño;74 m²;"Se alquila el mes de agosto, 2.000 €
Residencia cercana a la playa salve de laredo. Urbanización con pista de tenis y columpios pa...";43.4096;-3.43052;1ª planta;cantabria
1.200 €/mes;Piso en calle del Padre Ignacio Ellacuria;/alquilar/piso-laredo_centro39770-45840913133_520884/;Centro (Laredo);2 habs.;1 baño;67 m²;Estupendo piso en zona tranquila cercana a la zona centro de laredo y a la vez también  cercano a la playa. Tiene 2 habitaciones, ...;43.409167672;-3.418893531;3ª planta;cantabria
1.000 €/mes;Piso en calle de Hernán Cortés;/alquilar/piso-santander_centro_ayuntamiento39003-45056905684_103800/;Centro-Ayuntamiento (Santander);2 habs.;2 baños;75 m²;"¡Se alquila piso para fijo en el centro de santander!

Disfruta de vivir en una de las zonas más céntricas y emblemáticas de santa...";43.4626722;-3.8034503;;cantabria
900 €/mes;Piso en calle de San Fernando, 84;/alquilar/piso-santander_cuatro_caminos39010-42564622198_109300/;Cuatro Caminos (Santander);2 habs.;2 baños;101 m²;En el corazón de santander, te presentamos este espectacular piso en alquiler con todas las comodidades que puedas imaginar. Con d...;43.4589485;-3.8259168;3ª planta;cantabria
A consultar;Apartamento en Avenida de los Derechos Humanos;/alquilar/apartamento-zona_playa-42524894207_501237/;Zona Playa (Laredo);2 habs.;1 baño;60 m²;"Se alquila agosto quincena o mes completo
Residencia privada con parking y jardin comunitario en la zona de carlos v de laredo, a ...";43.408614574;-3.43065803;5ª planta;cantabria
850 €/mes;Piso en calle de Atilano Rodríguez;/alquilar/piso-castilla_hermida39002-45051803901_990805/;Castilla-Hermida (Santander);3 habs.;2 baños;115 m²;No fijo se alquila para fijo. Ideal para personal desplazado por trabajo o estudios, se alquila por periodos inferiores a 11 meses...;43.4583862;-3.8101652;2ª planta;cantabria
3.000 €/mes;Piso en Centro;/alquilar/piso-laredo_centro_urbano-25010887808_108500/;Centro (Laredo);1 hab.;1 baño;58 m²;Desde inmobiliaria uranga os presentamos este piso en el centro de laredo. Inmueble muy bien situado en la villa, a escasos 300 me...;43.412424571;-3.412766644;;cantabria
700 €/mes;Piso en calle de Benidorm, 6;/alquilar/piso-los_castros39005-45908537206_100500/;Los Castros (Santander);3 habs.;1 baño;71 m²;"Piso en alquiler  para estudiantes 

Este luminoso y acogedor apartamento se encuentra disponible desde septiembre hasta junio, br...";43.4702;-3.79369;6ª planta;cantabria
800 €/sem;Piso en calle Mijedo;/alquilar/piso-noja_helgueras-45062744058_510167/;Helgueras (Noja);2 habs.;1 baño;65 m²;Se alquila ático con ascensor y garaje particular, cercano a la playa y con espectaculares vistas al mar en noja, en la zona de la...;43.470240005;-3.508333448;4ª planta;cantabria
1.150 €/mes;Piso en Avenida de Valdecilla;/alquilar/piso-santander_cuatro_caminos39011-45038633129_993981/;Cuatro Caminos (Santander);4 habs.;2 baños;144 m²;Junto hospital valdecilla. Ideal para personal sanitario. Estupendo piso vacío de 144 m² aprox. Distribuidos en: hall de entrada. ...;43.454222415;-3.832027329;6ª planta;cantabria
1.700 €/mes;Piso en calle del Laurel;/alquilar/piso-trengandin-44230889431_102200/;Trengandín (Noja);2 habs.;1 baño;60 m²;Alquiler vacacional de junio a septiembre nuevo - bonita vivienda en noja con piscina y zonas verdes, cerca de la playa de trengan...;43.477075182;-3.521198814;3ª planta;cantabria
400 €/mes;Estudio en Avenida de la Libertad;/alquilar/estudio-laredo_el_puntal-45905405172_100500/;El Puntal (Laredo);;1 baño;27 m²;Se alquila solo para la temporada de invierno. Estudio en la zona del puntal de laredo con  un salón-dormitorios, cocina y baño. D...;43.425366613;-3.448351949;;cantabria
1.900 €/mes;Piso en calle de Peredo, 10;/alquilar/piso-noja_centro-45004817050_523850/;Centro (Noja);2 habs.;1 baño;76 m²;Alquilo piso de 70 metros tiene 2 dormitorios, salón, cocina y baño. Balcón, exterior, soleado y luminoso, un segundo piso sin asc...;43.481564;-3.5246928;Bajo;cantabria
950 €/mes;Piso en Valdenoja-La Pereda;/alquilar/piso-santander_monte39012-32576198517_100500/;Monte (Santander);2 habs.;2 baños;94 m²;"Magnifica vivienda vacacional septiembre-junio en valdenoja-la pereda de dos habitaciones

En una buena urbanización privada con p...";43.4713534;-3.8182037;1ª planta;cantabria
750 €/mes;Piso en Torrelavega;/alquilar/piso-el_parque_el_zapaton-45897925336_100500/;El Parque-El Zapatón (Torrelavega);3 habs.;1 baño;78 m²;"Vivienda en alquiler para fijo en torrelavega.

Ubicada la vivienda en pleno centro detorrelavega, donde puedes encontrar todo tip...";43.34614424;-4.050693268;1ª planta;cantabria
650 €/mes;Piso en calle La Secada;/alquilar/piso-santander_cuatro_caminos39010-45889829970_108900/;Cuatro Caminos (Santander);2 habs.;1 baño;70 m²;Septiembre a junio. Se alquila piso en la zona de cuatro caminos ideal para el personal del hospital marqués de valdecilla ya que ...;43.4586351;-3.8266714;4ª planta;cantabria
860 €/mes;Piso en calle de Alfonsina Storni;/alquilar/piso-santander_la_pereda39012-44237993900_100500/;La Pereda (Santander);2 habs.;2 baños;102 m²;"Solo alquiler temporal, desde el 1 de septiembre de 2024 hasta el 30 de junio de 2025.

Piso nuevo, bien amueblado y equipado.
Con...";43.4754017;-3.803418;3ª planta;cantabria
1.500 €/mes;Dúplex en Avenida Riomar;/alquilar/duplex-cotolino39700-43402313260_100500/;Cotolino (Castro Urdiales);3 habs.;3 baños;180 m²;"Alquiler de larga duración
Ático dúplex en excelente ubicación de cotolino, a tan solo 50 metros de la playa de brazomar, muy cerc...";43.3676199;-3.2121912;4ª planta;cantabria
1.000 €/mes;Piso en calle del Sable;/alquilar/piso-playa_ostende39700-45916036426_100500/;Playa Ostende (Castro Urdiales);2 habs.;1 baño;70 m²;"Inmobiliaria ubicate alquila a dos minutos de la playa de ostende!
*** por quincenas agosto 1000 euros
*** mes de agosto completo ...";43.390734289;-3.224376948;;cantabria
900 €/mes;Piso en Avenida de los Derechos Humanos, 40;/alquilar/piso-zona_playa-25851123426_515274/;Zona Playa (Laredo);2 habs.;2 baños;70 m²;Piso para alquiler vacacional en estupenda residencia privada a pocos metros de la playa. El piso cuenta con dos dormitorios, ampl...;43.4164;-3.4435;2ª planta;cantabria
3.000 €/mes;Piso en Avenida de Francia, 124;/alquilar/piso-laredo_el_puntal-39254459790_515274/;El Puntal (Laredo);2 habs.;2 baños;65 m²;Impresinante piso en el puntal, recientemente reformado, con unas vistas impresionantes a las playas de el puntal y el regatón. L...;43.427664951987;-3.44808440341153;10ª planta;cantabria
800 €/mes;Piso en calle de Benidorm, 7;/alquilar/piso-los_castros39005-45915427609_427100/;Los Castros (Santander);3 habs.;1 baño;71 m²;Luminoso y acogedor, frente a las universidades. **alquiler temporal desde septiembre hasta junio**, séptima altura, con fantástic...;43.470097;-3.7939267;7ª planta;cantabria
